ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,1,ScatterplotQ1,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,2,ScatterplotQ2,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
hr4364,VR Monitor Stereo,3,ScatterplotQ3,Front
