ParticipantId,Condition,TrialName,State,Time (ms),X,Y,Z,Pitch,Yaw,Roll,RotateUp,RotateRight,RotateLeft,RotateDown,ZoomIn,ZoomOut,Reset,BackButton
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,0,0.08689834,1.0939,-0.9369697,346.8317,30.02789,4.748912,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,100,0.08670678,1.093912,-0.9368167,346.8456,29.94878,4.898879,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,200,0.08676461,1.094109,-0.936982,346.7544,29.98857,4.933955,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,300,0.0867264,1.093998,-0.9368087,346.7564,30.0318,4.879539,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,400,0.08709856,1.094053,-0.9369137,346.7657,30.16362,4.850874,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,500,0.08744098,1.093796,-0.9369582,346.9654,30.28017,4.815144,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,600,0.08787893,1.093866,-0.9369903,347.0263,30.5446,4.721962,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,700,0.08844335,1.093776,-0.9369073,347.0288,30.86612,4.731091,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,800,0.08878781,1.093599,-0.9371579,346.9396,31.05316,4.807779,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,900,0.08889329,1.093938,-0.9373193,346.9066,31.21023,4.742378,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1000,0.08889229,1.093973,-0.937152,346.8174,31.29368,4.808761,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1100,0.0888805,1.093827,-0.9371544,346.8194,31.34805,4.815889,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1200,0.08913984,1.093738,-0.9371834,346.8361,31.42156,4.826401,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1300,0.0892131,1.093712,-0.9371443,346.7899,31.48104,4.787249,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1400,0.08928352,1.093617,-0.9370739,346.8755,31.50514,4.842024,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1500,0.08961091,1.093619,-0.9374279,346.8902,31.68396,4.733552,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1600,0.0898889,1.093871,-0.9376481,346.7152,31.8541,4.654802,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1700,0.09020425,1.093703,-0.9375417,346.7433,31.92805,4.679821,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1800,0.09001426,1.093713,-0.9372815,346.8356,31.77237,4.659359,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,1900,0.09001557,1.093745,-0.9374866,346.7838,31.77935,4.708155,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2000,0.08982926,1.093786,-0.9372783,346.8858,31.75293,4.764346,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2100,0.09001137,1.093818,-0.9374705,346.83,31.70622,4.680799,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2200,0.09030704,1.093781,-0.9374499,346.8698,31.80372,4.599017,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2300,0.09018334,1.093779,-0.9372685,346.8725,31.73384,4.660572,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2400,0.08984707,1.093894,-0.9371287,346.8377,31.65905,4.67962,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2500,0.08967749,1.093801,-0.93717,346.8296,31.61442,4.752142,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2600,0.08971245,1.093901,-0.9371576,346.817,31.78595,4.722703,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2700,0.08963482,1.093885,-0.937348,346.773,31.67309,4.804837,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2800,0.08994575,1.093958,-0.9376076,346.7364,31.81803,4.696149,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,WaitingToReadyUp,2900,0.09007914,1.094127,-0.9375066,346.7249,31.81146,4.711042,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3000,0.09005804,1.093976,-0.9375338,346.8157,31.84611,4.653104,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3100,0.08975897,1.093963,-0.9375697,346.8307,31.80144,4.705769,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3200,0.08969844,1.09405,-0.9374037,346.5936,31.73415,4.704242,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3300,0.0895801,1.094405,-0.9376352,346.4063,31.91179,4.997217,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3400,0.08960283,1.094762,-0.9381416,346.0301,32.09685,4.97998,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3500,0.08955932,1.0957,-0.9385576,345.421,32.52395,5.167809,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3600,0.08926989,1.096029,-0.9389421,344.8091,33.00509,5.239932,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3700,0.0893994,1.096768,-0.9395159,344.2118,33.40003,5.377898,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3800,0.08897904,1.09754,-0.940231,343.5199,33.69445,5.34479,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,3900,0.0881528,1.098161,-0.9408948,342.8814,33.85772,5.527697,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4000,0.08747229,1.098774,-0.941654,342.3817,34.04376,5.590109,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4100,0.08721672,1.099103,-0.9417605,341.9766,34.19201,5.638612,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4200,0.08747434,1.098874,-0.9416718,342.0412,34.3028,5.613533,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4300,0.08728435,1.09875,-0.9415443,342.0538,34.24947,5.602264,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4400,0.0874771,1.098473,-0.9412659,342.1367,34.23244,5.73225,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4500,0.08743601,1.098387,-0.9410672,342.2481,34.14552,5.735936,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4600,0.08778697,1.098219,-0.9412156,342.3452,34.18746,5.623281,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4700,0.08816029,1.098147,-0.9410675,342.3675,34.1666,5.526205,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4800,0.08818962,1.098279,-0.9412695,342.4063,34.20214,5.497632,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,4900,0.0884451,1.098111,-0.9410348,342.4493,34.21999,5.474646,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5000,0.08847344,1.098149,-0.9409809,342.4708,34.21547,5.464708,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5100,0.08834057,1.098307,-0.9409471,342.5154,34.14626,5.567866,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5200,0.08842533,1.09825,-0.9412879,342.5266,34.20558,5.47397,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5300,0.08868111,1.098269,-0.9410272,342.5294,34.241,5.435736,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5400,0.08904397,1.098078,-0.9411421,342.604,34.24759,5.37578,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5500,0.08915581,1.098171,-0.9411007,342.5796,34.23718,5.400822,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5600,0.08921013,1.09803,-0.9409482,342.6491,34.21793,5.2983,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5700,0.08906028,1.098151,-0.9409013,342.732,34.10647,5.418854,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5800,0.0892487,1.098024,-0.9409584,342.7327,34.13819,5.352074,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,5900,0.08924958,1.098097,-0.9410335,342.7553,34.17876,5.311943,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6000,0.0893763,1.097793,-0.9408989,342.8612,34.20085,5.297245,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6100,0.08932433,1.097692,-0.94072,342.8491,34.16706,5.357468,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6200,0.08925551,1.097516,-0.9406309,342.8672,34.1727,5.298337,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6300,0.08897331,1.097589,-0.9407632,342.9381,34.05046,5.419261,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6400,0.089316,1.097584,-0.9406911,343.0251,34.17009,5.369793,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6500,0.08965758,1.097489,-0.9404489,343.0585,34.18306,5.308698,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6600,0.08982606,1.097538,-0.9406505,343.1651,34.29844,5.289039,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6700,0.08987724,1.097488,-0.940735,343.1426,34.34611,5.317844,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6800,0.08997589,1.097368,-0.9405601,343.1348,34.42406,5.214973,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,6900,0.09002615,1.097377,-0.9404539,343.2186,34.31594,5.360306,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7000,0.09023958,1.097357,-0.9404296,343.2534,34.3834,5.320451,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7100,0.09031329,1.097422,-0.9402452,343.2505,34.39366,5.327864,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7200,0.09063019,1.097234,-0.9400488,343.3578,34.40713,5.322045,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7300,0.09041461,1.097229,-0.9400711,343.3368,34.39956,5.360913,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7400,0.09028207,1.097148,-0.9400132,343.3716,34.43328,5.305336,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7500,0.09009691,1.096803,-0.9398866,343.4109,34.29411,5.433677,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7600,0.09027845,1.097041,-0.9397563,343.43,34.35876,5.389291,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7700,0.09057695,1.097055,-0.9395144,343.4607,34.37325,5.438612,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7800,0.09051752,1.096919,-0.9397122,343.5031,34.42479,5.385642,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,7900,0.0906975,1.096976,-0.9396909,343.5169,34.47336,5.389194,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8000,0.09070414,1.096768,-0.9395386,343.6019,34.53866,5.320621,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8100,0.09067349,1.096631,-0.9394717,343.6094,34.50327,5.389431,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8200,0.09101333,1.096573,-0.9395586,343.6287,34.54843,5.297204,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8300,0.09092434,1.096736,-0.9393921,343.6689,34.49682,5.362135,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8400,0.0909679,1.096586,-0.9393514,343.769,34.42936,5.337999,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8500,0.09090904,1.096377,-0.9392321,343.7726,34.40839,5.361668,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8600,0.09107029,1.096438,-0.9392583,343.7808,34.48114,5.254014,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8700,0.09090978,1.096584,-0.9394737,343.8518,34.37527,5.308152,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8800,0.09104005,1.096481,-0.9396969,343.9713,34.42017,5.196981,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,8900,0.09111539,1.096532,-0.9394562,343.9668,34.38201,5.209227,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9000,0.0913972,1.096249,-0.939207,344.0596,34.36272,5.229834,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9100,0.09130324,1.096281,-0.9391189,344.0674,34.33085,5.253329,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9200,0.09135711,1.096324,-0.9393728,343.9832,34.4398,5.193234,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9300,0.09135053,1.09644,-0.9393408,344.1031,34.43082,5.142162,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9400,0.09132898,1.096326,-0.9394011,344.0891,34.35023,5.184486,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9500,0.09169058,1.096205,-0.9392945,344.0979,34.42118,5.103042,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9600,0.09137903,1.096268,-0.9392695,344.044,34.42736,5.166814,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9700,0.09133025,1.096163,-0.9393641,344.0891,34.39055,5.161064,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9800,0.09141749,1.096219,-0.9395051,344.0196,34.37268,5.173515,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,9900,0.0912696,1.096075,-0.9392701,344.0484,34.38921,5.235052,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10000,0.09098366,1.096054,-0.9391087,344.0505,34.33982,5.175518,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10100,0.09044566,1.096274,-0.9392316,344.0317,34.21911,5.305439,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10200,0.09069595,1.096233,-0.9394501,344.0448,34.24029,5.28438,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10300,0.09040879,1.096503,-0.9395128,343.9946,34.27065,5.285237,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10400,0.09073104,1.096378,-0.9395332,344.0347,34.31771,5.211726,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10500,0.09074571,1.096517,-0.9396952,344.0368,34.33677,5.211446,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10600,0.09111586,1.096459,-0.9397864,344.0638,34.47668,5.064685,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10700,0.09144318,1.096435,-0.9396256,344.0228,34.50325,5.085091,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10800,0.09155414,1.096205,-0.9394099,344.1727,34.53263,5.214242,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,10900,0.09147637,1.096097,-0.9397179,344.1724,34.55996,5.125738,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11000,0.09131461,1.096366,-0.9396306,344.175,34.57836,5.024584,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11100,0.0915185,1.096141,-0.9394262,344.2,34.54856,5.103113,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11200,0.09152663,1.096198,-0.9394906,344.2421,34.52132,5.052538,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11300,0.0917684,1.096107,-0.9396221,344.2267,34.54493,5.032553,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11400,0.0918122,1.096113,-0.939401,344.2087,34.49705,5.068548,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11500,0.09152348,1.096126,-0.9393644,344.3672,34.38845,5.141869,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11600,0.09152275,1.096006,-0.9395708,344.3764,34.40165,5.070011,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11700,0.09158623,1.096159,-0.9393889,344.3542,34.45261,5.050672,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11800,0.09191957,1.095926,-0.9394165,344.4292,34.41975,5.017921,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,11900,0.09210111,1.095959,-0.9394039,344.4038,34.42295,4.979131,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12000,0.0920217,1.096141,-0.9396003,344.4652,34.42045,5.012806,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12100,0.09211229,1.095955,-0.9395376,344.5201,34.46511,4.88993,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12200,0.0919562,1.095858,-0.9395137,344.5794,34.34817,4.915323,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12300,0.09218681,1.095875,-0.9395955,344.6242,34.37776,4.872022,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12400,0.09211239,1.095994,-0.9394764,344.6207,34.34594,4.883983,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12500,0.09206705,1.095944,-0.9394795,344.7024,34.26458,4.861195,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12600,0.09203476,1.09594,-0.93956,344.6535,34.32113,4.90201,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12700,0.09196882,1.095863,-0.9395882,344.649,34.31515,4.876169,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12800,0.0919724,1.096067,-0.9396231,344.6965,34.21657,4.941712,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,12900,0.09198162,1.096107,-0.9398994,344.6928,34.27533,4.873472,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13000,0.0922486,1.09614,-0.9399162,344.6379,34.31154,4.7946,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13100,0.09208547,1.096243,-0.939793,344.7055,34.29913,4.826959,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13200,0.09204973,1.096256,-0.9401747,344.6031,34.35021,4.790459,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13300,0.0920637,1.096226,-0.9401281,344.5888,34.36366,4.73543,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13400,0.09215258,1.096189,-0.9402043,344.6259,34.45883,4.700417,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13500,0.09195888,1.096389,-0.9404737,344.5876,34.40588,4.71384,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13600,0.09260066,1.096384,-0.9405805,344.5971,34.56014,4.611764,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13700,0.09247135,1.096593,-0.9405568,344.5522,34.57769,4.62737,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13800,0.0926474,1.096444,-0.9404508,344.59,34.55165,4.548162,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,13900,0.09268985,1.096138,-0.9404305,344.6833,34.61252,4.596027,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14000,0.0926355,1.096046,-0.9403657,344.7438,34.55978,4.479747,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14100,0.09258978,1.096054,-0.940563,344.7838,34.54057,4.490631,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14200,0.09297936,1.095781,-0.9405072,344.8854,34.5617,4.425722,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14300,0.09315604,1.095998,-0.9406222,344.8923,34.6509,4.359696,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14400,0.09348834,1.095657,-0.9404157,345.0085,34.70463,4.334711,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14500,0.09359147,1.095594,-0.940518,345.0564,34.81735,4.27691,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14600,0.09390425,1.095431,-0.9404525,345.0962,34.93698,4.244309,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14700,0.09390804,1.095214,-0.9400657,345.2896,34.89795,4.390326,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14800,0.0937186,1.095244,-0.9400572,345.2917,34.94298,4.3972,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,14900,0.09368033,1.095327,-0.9399351,345.2692,34.92764,4.462727,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15000,0.09370388,1.095181,-0.9399042,345.2163,35.00082,4.435268,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15100,0.09356828,1.095763,-0.9402419,345.0666,35.04623,4.512728,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15200,0.09343067,1.095707,-0.9400177,344.8784,35.07555,4.570311,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15300,0.09315574,1.095825,-0.9400142,344.8602,34.96223,4.681128,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15400,0.09329845,1.095707,-0.9400682,344.8287,35.05222,4.704284,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15500,0.09320823,1.096,-0.9401578,344.7669,35.09329,4.666906,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15600,0.09336658,1.095723,-0.9397762,344.8552,35.05845,4.681519,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15700,0.0931848,1.095657,-0.9399241,344.8463,34.9955,4.746047,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15800,0.0929225,1.09542,-0.9395841,344.8945,34.99233,4.655378,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,15900,0.09263735,1.095522,-0.9396898,344.8969,34.76422,4.810894,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16000,0.09275254,1.095425,-0.9396794,344.8659,34.82446,4.788344,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16100,0.0926806,1.095533,-0.9395425,344.8391,34.78899,4.825708,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16200,0.09284625,1.095265,-0.9394938,344.9215,34.78237,4.815167,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16300,0.09273387,1.095301,-0.9395342,344.9289,34.81237,4.823196,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16400,0.09283572,1.095256,-0.9393398,344.9495,34.81923,4.753408,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16500,0.09257804,1.095238,-0.9395134,344.9068,34.71158,4.808077,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16600,0.09299145,1.095054,-0.9395176,344.9436,34.8012,4.731539,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16700,0.09278549,1.09517,-0.9393027,344.9493,34.75233,4.823466,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16800,0.092711,1.094956,-0.9392148,344.9641,34.72369,4.833662,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,16900,0.09243367,1.09506,-0.9391719,344.9505,34.71669,4.888192,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,17000,0.09273788,1.094898,-0.938947,344.9919,34.72565,4.8108,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,17100,0.09235665,1.094965,-0.9389104,344.9666,34.56588,4.931159,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,17200,0.09256274,1.094923,-0.939015,344.9765,34.61628,4.920081,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,17300,0.09234114,1.095175,-0.9389694,344.9573,34.55053,4.91136,0,0,0,0,0,0,0,0
YA9918,VR,ScatterplotQ1,ReadingQuestion,17400,0.092534,1.095163,-0.9391249,345.0051,34.62651,4.852236,0,0,0,0,0,0,0,0
