ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,1,SurfacePlotQ1,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Front
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
UI1542,VR Monitor,2,SurfacePlotQ2,Right
