ParticipantId,Condition,Question #,TrialName,Graph Face Viewed
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Right
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,1,ScatterplotQ1,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,2,ScatterplotQ2,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,3,ScatterplotQ3,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Right
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,4,ScatterplotQ4,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Front
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
MU0632,VR Monitor,5,ScatterplotQ5,Right
